licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor
0,822148,2022-01-04,445485,420, ,12.0,5040.0,97012,60011,935.371
0,828392,2022-01-05,445485,28000, ,5.88,164640.0,97012,97012,0.0
0,831618,2022-01-17,445485,2100, ,5.09,10689.0,9210,9210,0.0
0,833472,2022-01-18,445485,360, ,7.7,2772.0,9210,12874,172.788
0,833473,2022-01-18,445485,120, ,7.7,924.0,9210,12874,172.788
0,836082,2022-01-19,445485,2985, ,4.2,12537.0,31054,31054,0.0
0,837151,2022-01-19,445485,1500, ,6.49,9735.0,27855,33910,819.143
0,843327,2022-01-10,445485,1200, ,5.5,6600.0,27855,27855,0.0
0,843350,2022-01-21,445485,150, ,14.0,2100.0,75353,74934,425.147
0,845827,2022-02-02,445485,180, ,8.91,1603.8,81051,80390,67.4845
0,845828,2022-02-02,445485,180, ,8.91,1603.8,81051,80390,67.4845
0,845829,2022-02-02,445485,374, ,12.58,4704.92,81051,80390,67.4845
0,845830,2022-02-02,445485,374, ,12.58,4704.92,81051,80390,67.4845
0,845831,2022-02-02,445485,410, ,10.55,4325.5,81051,80390,67.4845
0,845832,2022-02-02,445485,410, ,10.55,4325.5,81051,80390,67.4845
0,845833,2022-02-02,445485,120, ,9.83,1179.6,81051,80390,67.4845
0,845834,2022-02-02,445485,40, ,10.5,420.0,81051,80390,67.4845
0,845835,2022-02-02,445485,36, ,8.6,309.6,81051,80390,67.4845
0,845836,2022-02-02,445485,36, ,11.22,403.92,81051,80390,67.4845
0,845837,2022-02-02,445485,12, ,11.0,132.0,81051,80390,67.4845
0,845838,2022-02-02,445485,60, ,10.5,630.0,81051,80390,67.4845
0,845871,2022-02-01,445485,889, ,10.35,9201.15,57053,56251,12.2798
0,846073,2022-02-02,445485,2422, ,6.86,16614.9,81051,82333,13.2905
0,846074,2022-02-02,445485,2422, ,6.86,16614.9,81051,82333,13.2905
0,846075,2022-02-02,445485,2422, ,6.86,16614.9,81051,82333,13.2905
0,846076,2022-02-02,445485,2422, ,6.86,16614.9,81051,82333,13.2905
0,846077,2022-02-02,445485,2422, ,6.86,16614.9,81051,82333,13.2905
0,848829,2022-02-07,445485,600, ,12.9,7740.0,91839,0,0.0
0,848836,2022-02-07,445485,140, ,11.0,1540.0,91839,1317,145.916
0,848873,2022-02-07,445485,20115, ,2.85,57327.8,97012,97012,0.0
0,848874,2022-02-07,445485,6285, ,2.85,17912.2,97012,97012,0.0
0,849730,2022-02-08,445485,1000, ,10.1,10100.0,80470,33910,1608.93
0,850160,2022-02-08,445485,3000, ,9.99,29970.0,13897,13897,0.0
0,851328,2022-02-09,445485,1500, ,7.0,10500.0,90670,90670,0.0
0,851513,2022-02-10,445485,2100, ,8.3,17430.0,20516,0,0.0
0,851884,2022-02-04,445485,192, ,10.2,1958.4,81051,80110,29.5032
0,852152,2022-02-10,445485,1860, ,7.18,13354.8,71072,71072,0.0
0,852866,2022-02-11,445485,330, ,8.45,2788.5,38490,0,0.0
0,852981,2022-02-11,445485,4500, ,6.8,30600.0,4278,4278,0.0
0,855095,2022-02-09,445485,3000, ,7.9,23700.0,88013,88013,0.0
0,858739,2022-02-16,445485,360, ,10.0,3600.0,38490,0,0.0
0,859143,2022-02-21,445485,1500, ,10.0,15000.0,71072,71072,0.0
0,859605,2022-02-16,445485,2500, ,4.0,10000.0,17612,17795,15.3331
0,859668,2022-02-17,445485,600, ,5.5,3300.0,17612,17418,18.513
0,859875,2022-02-09,445485,3000, ,7.9,23700.0,88013,88013,0.0
0,861689,2022-02-23,445485,3500, ,5.85,20475.0,12190,12190,0.0
0,861888,2022-02-09,445485,3000, ,7.9,23700.0,88013,88013,0.0
0,862013,2022-02-24,445485,200, ,8.99,1798.0,9210,8036,485.139
0,862080,2022-02-22,445485,500, ,6.99,3495.0,90476,90670,177.54
0,862444,2022-02-24,445485,150, ,7.0,1050.0,9210,0,0.0
0,862457,2022-02-24,445485,40, ,7.0,280.0,9210,1686,182.994
0,862484,2022-02-24,445485,96, ,9.5,912.0,9210,0,0.0
0,862488,2022-02-24,445485,80, ,8.0,640.0,9210,0,0.0
0,862492,2022-02-24,445485,260, ,7.5,1950.0,9210,0,0.0
0,862494,2022-02-24,445485,70, ,8.5,595.0,9210,0,0.0
0,862505,2022-02-24,445485,1080, ,6.45,6966.0,9210,9210,0.0
0,862537,2022-02-24,445485,1440, ,6.21,8942.4,9210,9210,0.0
0,862678,2022-02-09,445485,3000, ,7.9,23700.0,88013,88013,0.0
0,864350,2022-03-03,445485,96, ,10.0,960.0,9210,0,0.0
0,865458,2022-03-03,445485,11640, ,6.5,75660.0,19810,19810,0.0
0,865459,2022-03-03,445485,3877, ,6.5,25200.5,19810,19810,0.0
0,865696,2022-02-18,445485,3840, ,4.0,15360.0,25313,25135,12.5627
0,865949,2022-02-24,445485,4000, ,4.19,16760.0,1074,1074,0.0
0,865950,2022-02-24,445485,1010, ,4.19,4231.9,1074,1074,0.0
0,866056,2022-03-07,445485,240, ,14.0,3360.0,47333,47872,215.513
0,866307,2022-02-09,445485,3000, ,7.9,23700.0,88013,88013,0.0
0,868622,2022-03-09,445485,118, ,11.0,1298.0,81051,80896,144.604
0,868623,2022-03-09,445485,119, ,11.0,1309.0,81051,80896,144.604
0,869056,2022-03-09,445485,3000, ,10.97,32910.0,97012,93734,174.558
0,869057,2022-03-09,445485,600, ,10.97,6582.0,97012,93734,174.558
0,869505,2022-03-09,445485,2000, ,6.4,12800.0,71072,71072,0.0
0,869693,2022-03-09,445485,2500, ,6.0,15000.0,19810,0,0.0
0,870558,2022-03-11,445485,1435, ,9.75,13991.2,93734,93734,0.0
0,871642,2022-03-14,445485,1500, ,11.85,17775.0,25216,31054,412.229
0,872170,2022-03-14,445485,315, ,8.98,2828.7,97012,97330,617.691
0,872439,2022-03-16,445485,5760, ,7.99,46022.4,25313,31054,398.772
0,872857,2022-03-16,445485,4100, ,4.99,20459.0,4278,4154,16.381
0,875904,2022-03-21,445485,1992, ,7.4,14740.8,71072,29394,491.169
0,875905,2022-03-21,445485,3000, ,7.4,22200.0,71072,29394,491.169
0,875906,2022-03-21,445485,800, ,8.0,6400.0,71072,29394,491.169
0,875907,2022-03-21,445485,1000, ,8.0,8000.0,71072,29394,491.169
0,875908,2022-03-21,445485,3600, ,8.0,28800.0,71072,29394,491.169
0,876413,2022-03-18,445485,7200, ,7.12,51264.0,60011,59153,59.8348
0,876653,2022-03-18,445485,11000, ,4.97,54670.0,4154,4154,0.0
0,876998,2022-03-18,445485,720, ,9.8,7056.0,97012,90514,877.77
0,876999,2022-03-18,445485,612, ,9.8,5997.6,97012,90514,877.77
0,877000,2022-03-18,445485,100, ,12.0,1200.0,97012,90514,877.77
0,877530,2022-03-23,445485,2400, ,4.94,11856.0,97012,97012,0.0
0,877797,2022-03-23,445485,850, ,10.53,8946.25,12190,12190,0.0
0,877936,2022-03-23,445485,1008, ,5.9,5947.2,9210,9210,0.0
0,879069,2022-03-18,445485,7200, ,7.12,51264.0,60011,59153,59.8348
0,879213,2022-03-23,445485,1000, ,7.48,7480.0,88013,85618,13.8043
0,879327,2022-03-28,445485,2000, ,9.5,190000.0,71072,71072,0.0
0,879328,2022-03-28,445485,4992, ,9.5,474240.0,71072,71072,0.0
0,879329,2022-03-28,445485,800, ,9.3,74400.0,71072,71072,0.0
0,879330,2022-03-28,445485,1800, ,9.3,167400.0,71072,71072,0.0
0,880764,2022-03-28,445485,240, ,16.95,4068.0,80470,0,0.0
0,880922,2022-03-28,445485,75, ,9.49,711.75,25216,31054,412.229
0,881251,2022-03-29,445485,6000, ,9.89,59340.0,25771,24198,221.128
0,881510,2022-03-29,445485,3000, ,5.46,16380.0,23574,26271,34.5153
0,881512,2022-03-29,445485,123, ,11.0,4059.0,81051,71072,490.491
0,881586,2022-03-29,445485,912, ,6.93,6320.16,35,35,0.0
0,882429,2022-03-09,445485,2500, ,6.0,15000.0,19810,0,0.0
0,882771,2022-03-29,445485,500, ,9.5,4750.0,13897,13552,111.088
0,883099,2022-03-18,445485,720, ,9.8,7056.0,97012,90514,877.77
0,883100,2022-03-18,445485,612, ,9.8,5997.6,97012,90514,877.77
0,883101,2022-03-18,445485,100, ,12.0,1200.0,97012,90514,877.77
0,884010,2022-03-29,445485,123, ,11.0,4059.0,81051,71072,490.491
0,884512,2022-03-25,445485,800, ,10.47,8376.0,25216,31054,412.229
0,884522,2022-03-25,445485,50, ,8.22,411.0,25216,31054,412.229
0,884570,2022-04-01,445485,600, ,12.97,7782.0,62090,62090,0.0
0,885292,2022-04-01,445485,2300, ,5.61,12903.0,25135,26271,51.9559
0,885650,2022-04-05,445485,2160, ,8.99,19418.4,25216,24139,229.665
0,885808,2022-04-04,445485,300, ,11.44,3432.0,38490,31054,277.346
0,886243,2022-04-05,445485,140, ,10.0,1400.0,38490,39934,525.039
0,886764,2022-04-06,445485,9148, ,2.95,26987.5,97012,97012,0.0
0,886994,2022-03-23,445485,1000, ,7.48,7480.0,88013,85618,13.8043
0,887829,2022-04-07,445485,480, ,9.3,4464.0,97012,1058,2312.76
0,887973,2022-04-08,445485,1380, ,7.0,9660.0,41238,41238,0.0
0,888517,2022-04-07,445485,450, ,10.98,4941.0,45535,0,0.0
0,888518,2022-04-07,445485,540, ,10.98,5929.2,45535,0,0.0
0,888519,2022-04-07,445485,27, ,10.5,283.5,45535,40673,222.929
0,888520,2022-04-05,445485,54, ,10.0,540.0,45535,41793,275.971
0,888521,2022-04-07,445485,153, ,10.49,1604.97,45535,47775,237.117
0,888522,2022-04-07,445485,63, ,17.0,1071.0,45535,0,0.0
0,889047,2022-03-21,445485,1500, ,6.0,9000.0,60011,60011,0.0
0,889794,2022-04-12,445485,144, ,12.0,1728.0,45535,53716,120.268
0,890182,2022-04-12,445485,720, ,11.5,8280.0,9210,44318,1747.62
0,890524,2022-01-27,445485,120, ,0.75,90.0,11533,12190,268.497
0,890593,2022-01-27,445485,100, ,6.5,650.0,11533,3441,102.969
0,891084,2022-04-14,445485,2208, ,9.5,20976.0,97012,2550,1932.1
0,891085,2022-04-14,445485,720, ,9.5,6840.0,97012,2550,1932.1
0,891086,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891087,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891088,2022-04-14,445485,100, ,22.75,2275.0,97012,2550,1932.1
0,891089,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891090,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891091,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891092,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891093,2022-04-14,445485,100, ,22.75,2275.0,97012,2550,1932.1
0,891094,2022-04-14,445485,100, ,22.75,2275.0,97012,2550,1932.1
0,891095,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891096,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891097,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891098,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891099,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891100,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891101,2022-04-14,445485,96, ,9.5,912.0,97012,2550,1932.1
0,891102,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891103,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891104,2022-04-14,445485,96, ,22.75,2184.0,97012,2550,1932.1
0,891105,2022-04-14,445485,120, ,22.75,2730.0,97012,2550,1932.1
0,894955,2022-04-25,445485,100, ,10.0,1000.0,97012,4154,1603.68
0,894963,2022-03-14,445485,315, ,8.98,2828.7,97012,97330,617.691
0,895433,2022-04-06,445485,2348, ,7.83,18384.8,20036,19810,88.4094
0,896998,2022-04-06,445485,720, ,5.19,3739.97,6050,71072,2663.93
0,897497,2022-04-07,445485,900, ,10.5,9450.0,25437,24139,84.8902
0,897498,2022-04-07,445485,300, ,0.88,264.0,25437,24139,84.8902
0,900071,2022-05-02,445485,1920, ,10.0,19200.0,97012,97330,617.691
0,900377,2022-05-02,445485,2216, ,4.8,10636.8,35,35,0.0
0,901283,2022-05-03,445485,190, ,7.0,1330.0,1392,1074,593.52
0,902019,2022-05-05,445485,1200, ,11.99,14388.0,13897,13897,0.0
0,902020,2022-05-05,445485,540, ,12.0,6480.0,13897,13897,0.0
0,902031,2022-04-12,445485,1550, ,7.0,10850.0,41238,41238,0.0
0,904297,2022-05-09,445485,360, ,11.15,4014.0,38490,31178,395.504
0,905594,2022-05-10,445485,216, ,12.0,2592.0,97012,4278,1593.95
0,907981,2022-05-10,445485,216, ,12.0,2592.0,97012,4278,1593.95
0,908049,2022-05-13,445485,600, ,14.59,8754.0,90514,90514,0.0
0,908066,2022-05-13,445485,50, ,16.0,800.0,90514,70572,906.971
0,908070,2022-05-13,445485,50, ,17.0,850.0,90514,70572,906.971
0,908183,2022-05-13,445485,1, ,26733.0,26733.0,25313,12190,935.089
0,908856,2022-05-17,445485,3000, ,9.75,29250.0,62910,62910,0.0
0,908978,2022-05-13,445485,3000, ,11.85,35550.0,25216,31054,412.229
0,909337,2022-05-16,445485,1500, ,8.12,12180.0,21695,19810,122.079
0,909963,2022-05-17,445485,3000, ,9.75,29250.0,62910,62910,0.0
0,912038,2022-05-19,445485,2350, ,9.5,22325.0,71072,45012,82.3401
0,912039,2022-05-19,445485,2268, ,8.3,18824.4,71072,45012,82.3401
0,912040,2022-05-19,445485,600, ,9.5,5700.0,71072,45012,82.3401
0,912041,2022-05-19,445485,100, ,9.6,960.0,71072,45012,82.3401
0,912042,2022-05-19,445485,3000, ,9.5,28500.0,71072,45012,82.3401
0,912328,2022-05-20,445485,100, ,10.72,1072.0,25216,31054,412.229
0,912714,2022-05-20,445485,350, ,11.99,4196.5,38490,31054,277.346
0,912799,2022-05-20,445485,330, ,13.75,4537.5,38490,30872,45.307
0,913798,2022-05-23,445485,4120, ,5.58,22989.6,20516,20516,0.0
0,916528,2022-05-25,445485,2000, ,6.0,12000.0,38490,39136,23.1818
0,917098,2022-02-23,445485,3500, ,5.85,20475.0,12190,12190,0.0
0,917137,2022-05-25,445485,900, ,11.9,10710.0,88013,0,0.0
0,917503,2022-05-26,445485,456, ,11.25,5130.0,38490,2550,2607.36
0,918587,2022-05-19,445485,4480, ,5.0,22400.0,25313,25313,0.0
0,920120,2022-05-25,445485,1000, ,34.99,34990.0,93610,12050,1177.83
0,920298,2022-05-30,445485,840, ,5.35,4494.0,27855,27855,0.0
0,920334,2022-02-10,445485,1860, ,7.18,13354.8,71072,71072,0.0
0,920575,2022-05-18,445485,72, ,7.0,504.0,17612,17612,0.0
0,920576,2022-05-18,445485,372, ,7.0,2604.0,17612,17612,0.0
0,920577,2022-05-18,445485,72, ,7.5,540.0,17612,17612,0.0
0,920578,2022-05-18,445485,290, ,7.5,2175.0,17612,17612,0.0
0,920579,2022-05-18,445485,72, ,7.0,504.0,17612,17612,0.0
0,920580,2022-05-18,445485,318, ,7.0,2226.0,17612,17612,0.0
0,920581,2022-05-18,445485,72, ,7.0,504.0,17612,17612,0.0
0,920582,2022-05-18,445485,345, ,7.0,2415.0,17612,17612,0.0
0,920583,2022-05-18,445485,144, ,7.5,1080.0,17612,17612,0.0
0,920584,2022-05-18,445485,644, ,7.5,4830.0,17612,17612,0.0
0,920585,2022-05-18,445485,84, ,7.05,592.2,17612,17612,0.0
0,920586,2022-05-18,445485,635, ,5.57,3536.95,17612,17612,0.0
0,920587,2022-05-18,445485,72, ,7.7,554.4,17612,17612,0.0
0,920588,2022-05-18,445485,336, ,7.7,2587.2,17612,17612,0.0
0,920589,2022-05-18,445485,72, ,7.7,554.4,17612,17612,0.0
0,920590,2022-05-18,445485,390, ,7.7,3003.0,17612,17612,0.0
0,920591,2022-05-18,445485,400, ,5.7,2279.0,17612,17612,0.0
0,920592,2022-05-18,445485,1434, ,5.7,8179.11,17612,17612,0.0
0,921040,2022-04-20,445485,160, ,13.0,2080.0,41238,49395,430.63
0,921181,2022-02-07,445485,240, ,9.0,2160.0,41238,53430,60.2181
0,921182,2022-02-07,445485,220, ,9.95,2189.0,41238,48658,353.897
0,921184,2022-05-31,445485,1800, ,12.88,23184.0,93734,93734,0.0
0,921186,2022-02-07,445485,120, ,10.0,1200.0,41238,0,0.0
0,922079,2022-05-27,445485,840, ,5.35,4494.0,27855,27855,0.0
0,922306,2022-06-01,445485,1200, ,4.5,5400.0,31054,31054,0.0
0,922572,2022-06-01,445485,2500, ,6.0,14999.0,19879,19879,0.0
0,923886,2022-06-06,445485,500, ,10.0,5000.0,96334,0,0.0
0,924346,2022-04-06,445485,2178, ,3.43,7470.54,25313,26271,47.1718
0,924347,2022-04-06,445485,0, ,3.43,0.0,25313,26271,47.1718
0,926798,2022-05-30,445485,840, ,5.35,4494.0,27855,27855,0.0
0,927382,2022-05-04,445485,660, ,12.91,8520.6,41238,44318,188.661
0,929032,2022-06-10,445485,6000, ,8.0,48000.0,97012,4154,1603.68
0,929033,2022-06-10,445485,432, ,8.0,3456.0,97012,4154,1603.68
0,929034,2022-06-10,445485,144, ,8.0,1152.0,97012,4154,1603.68
0,931954,2022-06-10,445485,480, ,10.97,5265.6,93734,93734,0.0
0,933546,2022-06-21,445485,168, ,9.98,1676.64,60011,56995,1454.23
0,933848,2022-06-21,445485,500, ,16.54,49620.0,81051,88013,1454.23
0,933851,2022-06-21,445485,298, ,16.54,29573.5,81051,83275,1454.23
0,933852,2022-06-21,445485,220, ,16.54,21832.8,81051,83275,1454.23
0,933853,2022-06-21,445485,480, ,16.54,47635.2,81051,83275,1454.23
0,933859,2022-06-22,445485,1, ,319163.0,319163.0,49859,63770,1454.23
0,933860,2022-06-22,445485,1, ,319163.0,319163.0,49859,63770,1454.23
0,934936,2022-06-23,445485,84, ,13.36,1122.0,9210,57576,1454.23
0,935481,2022-06-24,445485,600, ,7.79,4674.36,60011,60011,0.0
0,935891,2022-06-24,445485,800, ,7.0,5600.0,9210,9210,0.0
0,936180,2022-06-27,445485,900, ,6.9,6210.0,38490,30872,1454.23
0,939606,2022-06-30,445485,3000, ,8.2,24600.0,25313,35157,1454.23
0,939637,2022-06-29,445485,5000, ,6.99,34950.0,4154,4278,1454.23
0,939640,2022-06-29,445485,1, ,59299.8,59299.8,46337,46337,0.0
0,940061,2022-07-01,445485,2000, ,8.59,17185.0,2550,2550,0.0
0,940081,2022-06-30,445485,500, ,8.99,4495.0,25313,24139,1454.23
0,940299,2022-07-04,445485,3200, ,10.47,33504.0,25216,31054,1454.23
0,940545,2022-07-01,445485,240, ,10.0,2400.0,60011,41238,1454.23
0,940546,2022-07-04,445485,720, ,9.99,7192.8,71510,69671,1454.23
0,940780,2022-06-30,445485,300, ,8.78,2634.0,75353,75353,0.0
0,940783,2022-07-05,445485,700, ,30.0,21000.0,46477,41238,1454.23
0,940784,2022-07-05,445485,300, ,140.0,42000.0,46477,41238,1454.23
0,940785,2022-07-05,445485,100, ,192.0,19200.0,46477,41238,1454.23
0,940786,2022-07-05,445485,265, ,192.0,50880.0,46477,41238,1454.23
0,940787,2022-07-05,445485,30, ,420.0,12600.0,46477,41238,1454.23
0,940788,2022-07-05,445485,5, ,192.0,960.0,46477,41238,1454.23
0,941664,2022-07-01,445485,2000, ,5.89,11785.0,2550,2550,0.0
0,942063,2022-07-05,445485,8613, ,6.2,53400.6,60011,58254,1454.23
0,942064,2022-07-05,445485,2871, ,6.2,17800.2,60011,58254,1454.23
0,943140,2022-06-15,445485,1800, ,7.0,12600.0,17612,17418,1454.23
0,944896,2022-05-10,445485,216, ,12.0,2592.0,97012,4278,1454.23
0,946851,2022-07-14,445485,520, ,11.1,5772.0,2518,2518,0.0
0,946852,2022-07-14,445485,16, ,21.5,344.0,2518,2518,0.0
